ident,type,lat,lon,name,country
ACWEW,fix,46.19365277,-119.01600833,ACWEW,US
ACWUR,fix,47.35016666,-101.160925,ACWUR,US
ACXIY,fix,39.85811388,-88.04555,ACXIY,US
ACYLS,fix,31.06424444,-83.19443055,ACYLS,US
ACYOG,fix,44.54688888,-69.21524444,ACYOG,US
ACZES,fix,38.32635555,-104.88937777,ACZES,US
ACZUP,fix,32.12811388,-88.79276666,ACZUP,US
ADAAM,fix,27.98703333,-80.81460277,ADAAM,US
ADABE,fix,9.596925,138.24730833,ADABE,FM
ADABN,fix,37.82120833,-87.539725,ADABN,US
ADABY,fix,35.47599444,-108.87261388,ADABY,US
ADACO,fix,39.02754722,-76.77359166,ADACO,US
ADADE,fix,64.37908611,-162.26719722,ADADE,US
ADAFE,fix,39.65289722,-123.34658611,ADAFE,US
ADAGE,fix,34.98845277,-117.79300833,ADAGE,US
ADALE,fix,42.85301111,-86.01099166,ADALE,US
ADAME,fix,41.96913888,-87.65236111,ADAME,US
ADAMM,fix,34.01704722,-117.81681666,ADAMM,US
ADAMZ,fix,43.94228333,-89.98176666,ADAMZ,US
ADANE,fix,38.91590555,-104.39901666,ADANE,US
ADANN,fix,37.71876666,-100.72485555,ADANN,US
ADAPE,fix,30.56014166,-90.463025,ADAPE,US
ADAPT,fix,31.22985,-83.19288055,ADAPT,US
ADARE,fix,41.826975,-89.551,ADARE,US
ADAVE,fix,33.80728055,-81.05809166,ADAVE,US
ADAXE,fix,38.900725,-77.06811666,ADAXE,US
ADAXY,fix,32.377425,-97.55451944,ADAXY,US
ADAYA,fix,42.55067777,-122.86127777,ADAYA,US
ADAYI,fix,13.57247222,144.97084444,ADAYI,US
ADBAW,fix,39.59656944,-123.43288888,ADBAW,US
ADBON,fix,0.0,154.22833333,ADBON,US
ADCAP,fix,48.64915833,-95.79133055,ADCAP,US
ADCIN,fix,47.16350555,-93.48915555,ADCIN,US
ADCOJ,fix,42.13114166,-92.26448055,ADCOJ,US
ADCOK,fix,39.22120555,-76.69487777,ADCOK,US
ADCOM,fix,33.73270277,-80.92070277,ADCOM,US
ADDAM,fix,38.12376944,-75.92105277,ADDAM,US
ADDAR,fix,58.34650555,-134.51575277,ADDAR,US
ADDAX,fix,29.98111666,-83.99830833,ADDAX,US
ADDAY,fix,42.26143888,-124.45281944,ADDAY,US
ADDDA,fix,42.605625,-70.78207222,ADDDA,US
ADDDY,fix,41.88941944,-86.27506111,ADDDY,US
ADDED,fix,30.34487777,-97.88331944,ADDED,US
ADDEK,fix,38.67268611,-77.40747777,ADDEK,US
ADDEY,fix,40.86734722,-98.31475555,ADDEY,US
ADDIE,fix,35.91055555,-93.41055555,ADDIE,US
